word,trans,example
summer,"n.夏天，夏季
adj.夏季的
","1. We tour by car every summer.
每年夏天我们都驾车出外旅行。
2. Food must be refrigerated in summer.
食物在夏天必须加以冷藏。
3. summer attire
夏装
"
celebrate,"v.庆祝；颂扬，赞美
","1. It’s Dad’s birthday and we’re going out for a meal to celebrate.
今天是爸爸的生日，我们打算出去吃饭庆祝一下。
2. My folks are celebrating their 50th anniversary.
我父母正在庆祝他们结婚50周年。
3. poems that celebrate the joys of love
赞美爱之喜悦的诗歌
"
fireman,"n.消防队员
","1. Would you like to be a fireman?
你愿意是一名消防队员吗？
2. When people asked me what I wanted to be when I grew up, I never said fireman or astronaut.
每当有人来问我长大了要做什麽，我从来不会说消防员或是宇航员什麽的。
"
recognize,"v.(recognise)认出；承认；赏识,表扬
","1. I didn’t recognize you in your uniform.
你穿上制服我认不出你了。
2. Many doctors recognize homeopathy as a legitimate form of medicine.
许多医生承认顺势疗法是一种合理的医疗形式。
3. The army recognized him as an outstandingly able engineer.
军队称赞他为杰出能干的工程师。
"
recovery,"n.痊愈,复元；重获,恢复
","1. Doctors expect him to make a full recovery.
医生预计他能完全康复。
2. Hopes of economic recovery are fading.
经济复苏的希望越来越渺茫。
"
recognition,"n.认出,辨认；承认
","1. He stared at her, but there was no sign of recognition .
他盯着她看，但似乎没认出她来。
2. Don’s recognition of the importance of Suzy in his life
唐认识到苏济在他生命中的重要性
"
congratulate,"v.(on)祝贺,向…致贺词
","1. He never even stopped to congratulate me.
他甚至没有过来向我祝贺。
"
devise,"v.设计;发明;图谋;作出(计划);想出(办法)
","1. She devised a method for quicker communications between offices.
她想出一种加快办公室之间通信联络的方法。
"
evacuate,"v.撤离，疏散；排泄
","1. Police evacuated the area.
警方将该地区人员全部疏散。
"
dialog,"n.(dialogue)对话,对白
","1. a boring movie full of bad dialog
充满差劲对白的乏味电影
2. Students were asked to read simple dialogs out loud.
学生被要求大声朗读简单的对话。
"
banquet,"n.(正式的)宴会
v.参加宴会，宴请
","1. a state banquet (=  one attended by heads of government and other important people  )
国宴
"
move,"v.移动；迁移；感动
n.行动；移动,活动
","1. Please keep the doors closed while the train is moving.
火车行驶时请保持车门关闭。
2. We’ve moved seven or eight times in the last five years.
在过去五年里我们搬了七八次家。
3. His speech moved the audience to tears .
他的演讲让听众感动得落泪。
4. She’s still thinking about her next move .
她还在考虑她的下一步行动。
5. Martin made a move towards the door.
马丁朝门口挪了挪。
"
contradict,"v.反驳；同…矛盾,同…抵触
","1. Deborah opened her mouth to contradict, but closed it again.
黛博拉张口想要反驳，但又把嘴闭上了。
2. Dad just can’t bear to be contradicted.
爸爸就是受不了有人反驳他。
3. The witness statements contradict each other and the facts remain unclear.
目击者的说法互相矛盾，真相依然未明。
"
corporation,"n.公司，企业；法人
","1. He works for a large American corporation.
他在一家美国大公司工作。
2. multinational corporations
跨国公司
3. a housing corporation
住房建设集团
"
prisoner,"n.囚犯
","1. Relationships between the staff and the prisoners are good.
狱警和犯人相处良好。
2. Prisoners here only serve short sentences.
这里的犯人只是短期服刑。
3. The organization is arguing for the release of political prisoners (= people in prison because of their political opinions ) .
该组织正在争取释放政治犯。
"
accommodation,"n.住宿，膳宿供应
","1. The government will provide temporary accommodation for up to three thousand homeless people.
政府将为多达三千无家可归的人提供临时住所。
"
embassy,"n.大使馆;大使及其随员
","1. the American Embassy in Paris
美国驻巴黎大使馆
"
respect,"n.尊敬,尊重；敬意,问候
v.尊敬,尊重
","1. I have the greatest respect for Jane’s work.
我非常钦佩简的工作成绩。
2. Give my respects to your wife.
请代我问候尊夫人。
3. I respect his views, although I do not agree with them.
我尊重他的观点，虽然我不敢苟同。
"
fragile,"adj.易碎的，脆的，易损坏的
","1. Be careful with that vase – it’s very fragile.
小心那只花瓶——很容易打碎的。
2. fragile bones
脆弱的骨头
"
deficit,"n.赤字,逆差;亏损,亏空;不足,缺乏
","1. the country’s widening budget deficit
这个国家日益严重的预算赤字
2. the US’s foreign trade deficit
美国的对外贸易逆差
"
grandmother,"n.祖母,外祖母
","1. My grandmothers are both widows.
我的祖母和外祖母都是寡妇。
"
compensate,"v.(for)补偿；赔偿
","1. Because my left eye is so weak, my right eye has to work harder to compensate.
因为我左眼视力差，右眼就要辛苦点来弥补一下。
2. The firm will compensate workers for their loss of earnings.
公司将补偿工人的收入损失。
"
paralyze,"v.(paralyse)使瘫痪(麻痹)；使不能正常运作，使陷入瘫痪
","1. Her legs were partly paralyzed in the crash.
在撞车事故中她的双腿部分瘫痪。
2. Fear of unemployment is paralyzing the economy.
对失业的恐惧使经济陷于瘫痪。
"
evaluate,"v.估价,评价
","1. You should be able to evaluate your own work.
你应该能够评估自己的工作。
2. We need to evaluate the success of the campaign.
我们要评估一下这次运动是否成功。
3. It can be difficult to evaluate the effectiveness of different treatments.
要对各种治疗方法的效果作出评估会很难。
"
excessive,"adj.过多的;过分的
","1. his excessive drinking
他的酗酒
2. $15 for two beers seems a little excessive.
两杯啤酒要15美元，似乎有点过分。
"
orderly,"adj.整齐的,有条理的；有秩序的
n.勤务兵
","1. She needs to organize her ideas in a more orderly way.
她需要把自己的想法组织得更有条理些。
2. The elections were conducted in an orderly fashion.
选举进行得有条不紊。
"
salesman,"n.售货员,推销员
","1. ...an insurance salesman.
…一位男保险推销员。
"
curiosity,"n.好奇心；古董,古玩
","1. I opened the packet just to satisfy my curiosity .
我打开包裹只是为了满足我的好奇心。
2. The news aroused a lot of curiosity among local people.
这条消息在当地人中间引起了很大的好奇心。
3. She decided to follow him out of curiosity .
她出于好奇决定跟踪他。
4. Margaret looked at him with curiosity .
玛格丽特好奇地看着他。
5. a man of immense intellectual curiosity
求知欲极强的一个男人
6. a house full of old maps and other curiosities
藏满旧地图和其他珍奇物品的房子
"
discipline,"n.纪律；学科
","1. serious discipline problems in the police force
警察队伍内严重的纪律问题
2. We're looking for people from a wide range of disciplines.
我们正在寻找各类学科的人才。
"
equal,"adj.相等的；胜任的
n.同等的人
v.等于
","1. Both candidates received an equal number of votes.
两位候选人的得票数相等。
2. I’m not sure he’s equal to the task.
我不确定他是否能胜任这项任务。
3. He treats all his staff as equals.
他对所有员工都一视同仁。
4. Two plus two equals four.
二加二等于四。
"
soldier,"n.士兵,军人
","1. A British soldier was wounded in the fighting.
战斗中，有一名英国士兵受了伤。
2. an enemy soldier
敌兵
"
barely,"adv.勉强才能；几乎不
","1. She was very old and barely able to walk.
她年纪非常大，只能勉强走几步路。
2. Mary had barely enough money to live on.
玛丽的钱只够勉强度日。
3. She was barely aware of his presence.
她几乎没有注意到他的存在。
"
final,"adj.最终的；决定性的
n.决赛；期末考试
","1. The final episode will be shown tonight.
最后一集将于今晚播出。
2. students preparing for their final examinations
正在准备期末考试的学生
3. Stone is filming the final instalment of his Vietnam trilogy.
斯通正在拍摄越战三部曲的最后一部。
4. the final stages in their relationship
他们之间关系的最后阶段
5. The judge’s decision is final.
这位法官的判决是最终判决。
6. He’s through to the men’s tennis final for the first time.
他第一次打进男子网球决赛。
"
confine,"v.限制；使不外出，禁闭
n.[pl.]界限，范围
","1. We confined our study to ten cases.
我们把研究限定在十个案例以内。
2. Any soldier who leaves his post will be confined to barracks (= made to stay in the barracks ) .
任何擅离职守的士兵都要受到在营房里关禁闭的处罚。
3. within the confines of the prison
在监狱范围内
"
creature,"n.动物;生物
","1. all the living creatures in the sea
海洋中所有的生物
"
communism,"n.共产主义
","1. ...the ultimate triumph of communism in the world.
…共产主义在全世界的最终胜利。
"
deceive,"v.欺骗,蒙蔽
","1. He had been deceived by a young man claiming to be the son of a millionaire.
他被一个自称是百万富翁之子的年轻人骗了。
"
characterize,"v.描述…特性
","1. The group was characterized as being well-educated and liberal.
该群体被描绘成受过良好教育，思想开明。
"
basis,"n.基础,根据
","1. Their claim had no basis in fact (=  it was not true  ) .
他们的说法没有事实根据。
"
species,"n.(物)种,种类
","1. Seven species of birds of prey have been observed.
已有七种猛禽被观察到。
2. pandas and other endangered species
熊猫以及其他濒危物种
"
part,"n.部分,角色,一方,零件,地区,部,篇
v.使分开
","1. For part of the day, you will be outside doing practical work.
你们每天将有一部分时间在户外实际操作。
2. Lay all the parts out before you start assembling the model.
开始组装模型之前把所有的零件都摆放出来。
3. The crowd parted to let him through.
人群分开让他通过。
"
summarize,"v.(summarise)概括,总结
","1. The authors summarize their views in the introduction.
作者在序言里概述了他们的观点。
"
signal,"n.信号,暗号
v.发信号,用信号通知
","1. At a prearranged signal the lights went out.
预定的信号一发出，灯就全灭了。
2. he whistle signalled the end of the match.
哨声吹响，示意比赛结束。
"
circulate,"v.(使)循环,(使)流通
","1. Swimming helps to get the blood circulating through the muscles.
游泳有助于肌肉的血液循环。
2. Ceiling fans circulated warm air around the room.
吊扇使暖空气在房间里循环。
"
religious,"adj.宗教的；信教的,虔诚的
","1. I don’t share her religious beliefs .
她的宗教信仰和我的不同。
2. a religious school
宗教学校
3. My aunt’s a deeply religious person.
我姑母是个非常虔诚的信徒。
"
massacre,"v.残杀,集体屠杀
n.残杀,大屠杀
","1. The army massacred more than 150 unarmed civilians.
军队屠杀了150多名手无寸铁的平民。
2. the only survivor of the massacre
这场大屠杀的唯一幸存者
"
decrease,"n.减少,减小;减少量
v.减少,变少,降低
","1. In Spain and Portugal there has been a decrease in the number of young people out of work.
在西班牙和葡萄牙，失业青年人数已经有所下降。
2. They want to decrease their reliance on oil.
他们想减少对石油的依赖。
"
countryside,"n.乡下,农村
","1. The house had lovely views over open countryside .
这房子望出去是开阔的乡村美景。
"
improvement,"n.改进,进步,增进
","1. Our results have shown some improvement this month.
我们的成绩这个月有所提高。
"
precision,"n.精确,精确度
","1. The work was carried out with military precision (= the work was done in a carefully planned and exact way ) .
这项工作做得严谨细致，有如军事行动。
"
suppose,"v.料想,猜想;假定
","1. There were many more deaths than was first supposed.
死亡人数远远超过最初的预料。
"
accident,"n.意外遭遇,事故
","1. Ken had an accident at work and had to go to hospital.
肯在工作中出了事故，不得不去医院。
2. I’m sorry about breaking the vase – it was an accident (=  I did not intend to do it  ) .
对不起，我把花瓶打碎了——这是个意外。
3. She was injured in a freak accident (=  an unusual accident  ) when a wall suddenly collapsed.
她在一场墙壁突然倒塌的诡异事故中受了伤。
4. I had a slight accident with your coffee.
出了个小小的意外，我把你的咖啡弄洒了。
5. They lost their lives in a tragic accident .
他们在一次悲惨的事故中丧生。
"
comprise,"v.包含，包括，由...组成；构成，组成
","1. The house comprises two bedrooms, a kitchen, and a living room.
这座房子有两间卧室、一间厨房和一间起居室。
2. Women comprise a high proportion of part-time workers.
兼职人员中妇女占了很大一部分。
"
penny,"n.便士
","1. Unleaded petrol rose more than a penny a gallon.
无铅汽油每加仑涨了一个多便士。
"
compare,"v.比较；与…相比
","1. The report compares the different types of home computer available.
这份报告比较了市场上不同类型的家用计算机。
2. Compared to our small flat, Bill’s house seemed like a palace.
和我们的小公寓相比，比尔的房子就像是宫殿。
"
character,"n.性格,品质,特性；人物,角色;；字符,(汉)字
","1. He has a cheerful but quiet character.
他的性格乐观文静。
2. Candida is the most interesting character in the play.
坎迪达是剧中最有趣的人物。
3. the Chinese character for ‘horse’
汉字中的“马”
"
genius,"n.天才
","1. The film reveals Fellini’s genius.
这部影片展现了费里尼的天赋。
2. a work of pure genius
天才之作
"
dedicate,"v.奉献;献身于
","1. For the next few years, she dedicated herself to her work.
随后的几年里，她全身心地投入工作。
"
expose,"v.(to)使暴露,受到；揭露，揭发
","1. The report revealed that workers had been exposed to high levels of radiation.
报告披露工人们受到了高强度的辐射。
2. The film exposes the utter horror of war.
这部电影揭示了战争的极端恐怖。
"
formal,"adj.官方的；正式的
","1. formal recognition of the reformed church
改革后的教会所获得的官方承认
2. a formal agreement between the countries
两国间的正式协议
3. There is no formal structure for negotiating pay increases.
加薪谈判没有正式的框架可循。
"
same,"adj.相同的
pron.同样
adv.同样地
","1. He sits in the same chair every night.
他每天晚上都坐在同一把椅子上。
2. The coins may look the same but one’s a forgery.
这些硬币虽然看起来一样，但其中有一个是假币。
3. Everyone had to dress the same as a well-known historical figure.
每个人都必须装扮成一位历史名人。
"
inevitable,"adj.不可避免的,必然发生的
","1. A further escalation of the crisis now seems inevitable.
危机的进一步升级现在看来已不可避免。
"
suspect,"v.猜想；怀疑
adj.可疑的
n.嫌疑犯
","1. She strongly suspected he was lying to her.
她非常怀疑他在对她撒谎。
2. The two men were convicted on the basis of some highly suspect evidence.
两名男子被定了罪，而定罪证据尚有很大疑点。
3. Two suspects were arrested today in connection with the robbery.
有两名与劫案有关的嫌疑人今天被逮捕。
"
capitalism,"n.资本主义
","1. ...the two fundamentally opposed social systems, capitalism and socialism.
…两种根本对立的社会制度，资本主义与社会主义。
"
perform,"v.表演,演出；履行,执行
","1. Chenier and the band are performing at the Silver Palace tomorrow.
车尼尔和乐队明天将在银宫演出。
2. Surgeons performed an emergency operation.
外科医生做了一个急诊手术。
"
medieval,"adj.中世纪的,中古(时代)的；老式的,原始的
","1. These spices were first brought to Italy from the East in medieval times.
这些香料最早是在中世纪时从东方被带到了意大利。
2. a medieval castle
一座中世纪城堡
3. The plumbing in this house is positively medieval
这座房子里的水管实在太陈旧了！
"
cartoon,"n.动画片；漫画,幽默画
","1. cartoon characters such as Donald Duck
唐老鸭一类的卡通人物
"
limited,"adj.有限的,被限制的
","1. My knowledge of the business is limited.
我对这一行了解有限。
2. The organization has very limited resources.
这家机构资源非常有限。
3. So far, the education reforms have had only limited success.
迄今为止，教育改革只取得了有限的成效。
"
possible,"adj.可能的,做得到的；合理的
","1. Is it possible toget tickets for the game?
有没有可能弄到比赛的门票？
2. It might be possible for the documents to be sent over.
这些文件也许可以发送过去。
3. Computer technology makes it possible for many people to work from home.
计算机技术让很多人可以在家里工作。
4. I want to avoid the rush hour traffic if possible .
如有可能我想避开交通高峰时间。
5. I walk or use public transport whenever possible .
只要有可能我就步行或者乘坐公共交通工具。
6. We are doing everything possible to track down the killer.
我们正竭尽全力追捕杀人凶手。
7. Our staff will help you in every way possible .
我们的员工会尽力帮助你。
8. There seem to be only two possible explanations .
似乎只有两种合理的解释。
"
extract,"v.拔出,抽出；摘录
n.节录；选段；抽取物
","1. You’ll have to have that tooth extracted.
你得把那颗牙拔掉。
2. We need to extract the relevant financial data.
我们需要摘录相关的财务数据。
3. I’ve only seen short extracts from the film.
我只是看过那部电影的一些小片段。
4. Add one teaspoon of vanilla extract.
加入一茶匙香草精。
"
container,"n.容器；集装箱
","1. ice cream in plastic containers
塑料容器里的冰激凌
2. a container ship
集装箱船
"
menace,"n.有危险性的人(或物)；威胁，威吓
v.威胁，威吓
","1. The elephants are still menaced by poachers.
大象仍然面临非法捕猎者的威胁。
2. There was menace in his voice.
他的语气里带着威胁。
3. The elephants are still menaced by poachers.
大象仍然面临非法捕猎者的威胁。
"
adhere,"v.(to)粘着；坚持，遵守
","1. The eggs of these fish adhere to plant leaves.
这些鱼产下的卵附着在植物叶片上。
2. All members of the association adhere to a strict code of practice.
所有该协会的成员都遵守严格的业务守则。
"
besides,"adv.此外；并且
prep.于…之外；除…以外
","1. I need the money. And besides, when I agree to do something, I do it.
我需要这笔钱，而且，我一旦答应做什么事情就会做到。
2. I think she has many good qualities besides being very beautiful.
我觉得她除了非常漂亮之外，还有许多好的品质。
"
analogue,"n.类似物；相似体；模拟
",
conversation,"n.会话,谈话
","1. a telephone conversation
电话交谈
2. Children quickly get bored by adult conversation.
儿童对成年人的谈话很快就会厌倦。
3. They had a short conversation in German and seemed to be disagreeing about something.
他们用德语说了一会儿，好像对什么事有分歧。
4. It’s impossible to carry on a conversation with all this noise in the background.
在这么喧闹的环境中进行谈话是不可能的。
5. ‘Did you have a good journey?’ he said, trying to make conversation .
“你旅途愉快吗？”他问道，试图找话谈。
6. He was silent, no matter how hard Sofia tried to engage him in conversation .
无论索菲娅怎么引他说话，他就是一声不吭。
7. After a while, the conversation turned to a friend’s coming wedding.
过了一会儿，话题就转到一个朋友即将举行的婚礼上去了。
8. They were deep in conversation , relaxed and smiling.
他们谈得很投入，很放松，脸上带着微笑。
9. He could hear snatches of conversation from across the room.
他从房间对面听得到零星的对话。
"
pride,"n.自豪（感），骄傲
v.使自豪
","1. He wore his medals with pride.
他自豪地戴着奖章。
2. The people have a sense of pride in their community.
人们对自己的社区有一种自豪感。
3. His heart swelled with pride when his daughter came in.
女儿进来时他的内心充满了自豪感。
4. She felt a glow of pride when her name was announced for the prize.
宣布她获奖时她感到非常自豪。
5. She prides herself on being a good listener.
她为自己善于倾听而感到自豪。
"
significant,"adj.重要的，重大的，影响深远的
","1. His most significant political achievement was the abolition of the death penalty.
他政治上最重大的成就是废除了死刑。
2. Please inform us if there are any significant changes in your plans.
你们的计划如有重大变动，请通知我们。
"
reciprocal,"adj.相互的,往复的,互利的
","1. He spoke of the necessity for a reciprocal relationship that would be useful for all sides.
他谈及需要建立对各方都有益的互惠关系。
2. Such treaties provide reciprocal rights and obligations.
此类协议规定了相互之间的权利与义务。
"
to,"prep.(表示方向)到；向；(表示间接关系)给
","1. She stood up and walked to the window.
她站起来走到窗前。
2. the road to London
通往伦敦的路
3. our weekly trip to the supermarket
我们每周一次的超级市场之行
4. sending a spaceship to Mars
向火星发射宇宙飞船
5. These people go from house to house selling goods (= visit many different houses ) .
这些人挨家挨户兜售货物。
"
perfection,"n.尽善尽美,完美
","1. My father expected perfection from all of us.
父亲期望我们都尽善尽美。
2. the search for technical perfection
对技术的精益求精
"
possession,"n.持有,拥有；所有物；财产,财物
","1. That information is not in our possession.
那则信息不归我们所有。
2. How did the painting come into your possession (= how did you get it ) ?
这幅画是怎么到你手上的？
3. The finance company now has possession of the house.
这家金融公司目前拥有这所房子。
4. He had sold all his possessions and left the country.
他变卖所有财产后离境了。
"
