word,trans,example
sample,"n.样品,标本,抽样检查
v.取样,采样
","1. They took a blood sample to test for hepatitis.
他们取了血样做肝炎化验。
2. 18% of the adults sampled admitted having had problems with alcohol abuse.
在接受抽样调查的成年人中有18%承认有过酗酒问题。
"
manufacture,"v.制造,加工
n.制造,制造业
","1. the company that manufactured the drug
生产这种药的公司
2. manufactured goods
工业品，制成品
3. Cost will determine the methods of manufacture.
成本将决定生产方法。
"
interval,"n.间隔,间歇
","1. He left the room, returning after a short interval with a message.
他离开房间，过了一会儿就带回来一条消息。
"
action,"n.行动；行为；战斗
","1. The government must take action (=  do something  ) now to stop the rise in violent crime.
政府现在必须采取行动遏止暴力犯罪的上升。
2. She was looking forward to putting her ideas into action (=  doing the things she had planned  ) .
她盼望着将自己的想法付诸实施。
3. Ambulance crews are ready to spring into action (=  suddenly start doing something  ) if anything goes wrong during the race.
救护车急救人员随时准备出动，以应对比赛期间发生的意外。
4. The child could not be held responsible for his actions (= he was too young to be blamed for them ) .
不能要求这个小孩对自己的行为负责。
5. There have been reports of widespread enemy action in the area.
据报敌军在该地区开展大规模行动。
"
increasingly,"adv.不断增加地,日益
","1. Marketing techniques are becoming increasingly sophisticated.
市场营销技巧越来越巧妙。
2. Increasingly, young people distrust all forms of government.
年轻人越来越不相信任何形式的政府。
"
confuse,"v.使混乱,混淆
","1. People might well confuse the two products.
人们很容易混淆这两种产品。
"
base,"n.基础,底部；根据地
v.(on)把…基于
","1. a wine glass with a heavy base
一个杯底厚实的葡萄酒杯
2. He used the house as a base for his printing business.
.他把这房子作为他印刷业务的基地。
3. The new organization will be based in Dallas.
这个新的机构总部将设在达拉斯。
"
evolution,"n.进化,演变；发展,进展
","1. the theory of evolution
进化论
2. the evolution of the computer
计算机的发展
"
exclude,"v.拒绝,把…排除在外；排斥
","1. a special diet that excludes dairy products
不包含奶制品的特别食谱
2. The judges decided to exclude evidence which had been unfairly attained.
法官裁决不接纳以不正当手段获取的证据。
3. Sarah heard the other girls talking and laughing and felt excluded.
萨拉听见其他女孩又说又笑，觉得自己受到了排斥。
"
barn,"n.谷仓,仓库
","1. The barn was heaped with grain.
谷仓里堆满了粮食。
2. The dilapidated barn detracts charm from the landscape.
圮废失修的谷仓有损景色的美。
3. The grain is liable to mildew when the humidity in the barn is too high.
仓库里潮气太大， 粮食就容易发霉。
"
legislation,"n.法律(规)；立法
","1. This is a very important piece of legislation (= law ).
这是一条非常重要的法规。
"
simple,"adj.简单的；迟钝的,头脑简单的
","1. a simple but effective solution to the problem
对这个问题简单而有效的解决办法
2. There is no simple answer to this question.
这个问题没有简单的答案。
3. I’m sure there’s a perfectly simple explanation.
我相信一定有一个很简单的解释。
4. We want to keep the costumes as simple as possible.
我们想使服装尽量简单。
5. We can’t pay people any more money until the company is more profitable. I’m afraid it’s as simple as that .
只有公司赢利更多，我们才能支付更高的报酬。 恐怕就这么简单。
6. I’m afraid Luke’s a bit simple.
我觉得卢克有点笨。
"
pension,"n.养老金,年金
","1. At what age can you start drawing your pension ?
从多少岁可以开始领取养老金？
2. If you are self-employed, you should think about taking out a private pension .
如果你是自由职业者，应该考虑办理私人养老金事宜。
3. Many people find it hard to live on a basic state pension .
许多人发现仅凭国家基本养老金不能养活自己。
4. She pays a quarter of her salary into a pension plan.
她将每月工资的四分之一用于养老金计划。
"
parade,"n.游行；检阅,阅兵式
v.游行；列队行进
","1. a victory parade
胜利游行
2. the St Patrick’s Day parade
圣帕特里克节庆祝游行
3. a military parade
军事检阅
4. The marchers paraded peacefully through the capital.
游行队伍有秩序地列队穿过首都。
"
prescription,"n.药方,处方
","1. We are trying to cut the price of prescription drugs .
我们正努力降低处方药的价格。
2. a repeat prescription
重复处方
"
heroic,"adj.英雄的，英勇的，崇高的
","1. her heroic efforts to save her family
她拯救家人的英勇行为
2. Lawrence’s heroic struggle against his destiny
劳伦斯与命运的勇敢抗争
3. She portrayed him as a heroic figure .
她把他描述为英雄人物。
"
modest,"adj.谦虚的
","1. You’re too modest! You’ve been a huge help to us.
你太谦虚了！你帮了我们大忙呢。
"
finite,"adj.有限的
","1. the earth’s finite resources
地球有限的资源
"
obscure,"adj.模糊的,晦涩的；暗的,朦胧的
","1. obscure legal phrases
费解的法律术语
2. For some obscure reason, the group is very popular.
这个组合莫名其妙地很受欢迎。
"
basement,"n.建筑物的底部,地下室,地窖
","1. They bought an old schoolhouse to live in and built a workshop in the basement.
他们买了座旧校舍居住，还在地下室建了个作坊。
"
information,"n.情报,资料,消息;信息
","1. I need more information.
我需要更多信息。
"
doctor,"n.医生；博士
v.窜改，伪造
","1. She was treated by her local doctor.
她由她的本区医生治疗。
2. I’d like to make an appointment to see Dr Pugh.
我想预约看皮尤医生。
3. a Doctor of Law
法学博士
4. They doctored the prints, deepening the lines to make her look as awful as possible.
他们窜改了照片，加深皱纹使她尽可能地难看。
"
urban,"adj.城市的, 市内的
","1. unemployment in urban areas
城市地区的失业状况
2. the deprived sections of the urban population
城市人口中的贫困群体
"
preliminary,"adj.预备的,初步的
","1. the preliminary stages of the competition
竞赛的预赛阶段
2. a preliminary draft
初稿
"
viewpoint,"n.观点
","1. Try and think of it from the child’s viewpoint.
尽量从孩子的角度来考虑这件事。
"
verdict,"n.(陪审团的)裁决,判决；判断；定论
","1. The verdict was ‘not guilty’.
裁决为“无罪”。
"
apartment,"n.[英]房间，套间；[美]公寓
","1. She lives in a small apartment.
她住在一套小公寓里。
"
concrete,"adj.混凝土的；具体的
n.混凝土
","1. a concrete floor
混凝土地面
2. the lack of any concrete evidence
缺少具体证据的
"
verge,"n.边,边缘
v.濒临
","1. The car skidded across the road and came to a stop on the grass verge.
汽车滑过路面，在路缘草带上停了下来。
2. His love of James Dean movies verged on fanaticism.
他对詹姆斯·迪恩影片的喜爱近乎狂热。
"
education,"n.教育,培养
","1. She also hopes her children will get a good education.
她也希望她的孩子可以受到良好的教育。
2. efforts to improve girls’ access to education
为增加女孩受教育机会所作的努力
"
combat,"n.战斗,搏斗,格斗
v.防止，抑制
","1. We flew over 200 combat missions in the war.
我们在战争中执行过两百多次战斗飞行任务。
2. training in unarmed combat
徒手格斗训练
3. new strategies for combatting terrorism
打击恐怖主义的新战略
"
marble,"n.大理石,云石
","1. The columns were of white marble.
柱子是白色的大理石。
2. a marble statue
大理石雕像
"
medal,"n.奖章,勋章,纪念章
","1. She won a gold medal at the last Olympics.
她在上届奥运会上赢得一枚金牌。
2. The two boys were awarded medals for their bravery.
这两个男孩因勇敢而获得勋章。
"
cycle,"n.周期,循环；自行车
v.骑自行车；循环
","1. a woman’s menstrual cycle
女性的月经周期
2. cycle routes
自行车路线
3. Do you cycle to work?
你骑自行车上班吗？
4. The water is cycled through the machine and reused.
水通过机器循环后重复使用。
"
careful,"adj.小心的,仔细的;细致的,精心的
","1. He was being very careful with the coffee so as not to spill it.
他非常小心地拿着咖啡，以免泼出来。
"
biology,"n.生物学
","1. a degree in biology
生物学学位
"
classification,"n.分类,分级
","1. the classification of wines according to quality
葡萄酒按品质的分类
2. There are five job classifications.
有五种工作类别。
"
intelligible,"adj.可理解的，明白易懂的，清楚的
","1. His reply was barely intelligible.
他的回复几乎让人听不懂。
"
unexpected,"adj.想不到的, 意外的, 未预料到
","1. The experiment produced some unexpected results.
这次试验产生了一些意想不到的结果。
2. Her death was totally unexpected.
她的死完全出人意料。
3. Hague’s announcement was not entirely unexpected.
黑格的声明并非完全出乎意料。
"
economy,"n.经济；节约
","1. a successful economy
发展成功的经济
2. the slowdown in the Japanese economy
日本经济的减缓
3. The gas fire was turned low for reasons of economy.
为了节省，把煤气取暖器开小了。
"
discreet,"adj.(言行)谨慎的；慎重的
","1. He assured her that he would be discreet.
他向她保证会谨慎行事。
2. I stood back at a discreet distance.
我谨慎地保持一段距离站在后面。
"
prison,"n.监狱
","1. He visits his dad in prison every week.
他每周都去探望狱中的父亲。
2. Ricky has been out of prison for three years now.
里基现已出狱三年。
3. They’ll probably put him in prison for a long time.
他们很可能会让他在监狱里待很长时间。
4. Helen was sent to prison for attacking a man with a knife.
海伦因持刀袭击一名男子而被送入监狱。
5. The two men were arrested only a week after they were released from prison .
那两名男子从监狱获释后仅仅一周就被捕了。
6. Three terrorists escaped from Brixton Prison .
有三名恐怖分子从布里克斯顿监狱越狱了。
7. an increase in the number of women going to prison
入狱女性人数的增多
8. Mr Gunn received a ten year prison sentence .
冈恩先生获刑十年。
"
finger,"n.手指；指状物
","1. The woman had a ring on her finger, so I assumed she was married.
那女人手指上戴着戒指，因此我猜想她已经结婚了。
2. We ate with our fingers.
我们用手抓着吃。
3. chocolate fingers
巧克力条
"
captain,"n.舰长，船长；机长
v.做…的首领,指挥
","1. The captain and crew welcome you aboard.
机长和全体机组人员欢迎各位乘坐本次航班。
2. He captained the winning team in 1991.
他于1991年率队夺得胜利。
"
sign,"n.标记,招牌；征兆,迹象
v.签名(于),署名(于)
","1. a sign on the door
门上的标牌
2. road signs
路标
3. a no smoking sign
禁止吸烟的告示牌
4. Don’t ignore the fog warning signs .
不要忽视雾警标志。
5. There were no signs of forced entry into the house.
没有强行入室的痕迹。
6. You forgot to sign the cheque .
你忘记在支票上签名了。
"
event,"n.(尤指特殊、重大) 事件
","1. one of the most important events in the history of mankind
人类历史上最重大的事件之一
"
inverse,"adj.相反的,倒转的,反转的
n.相反之物
","1. Clearly, the amount of money people save increases in inverse proportion to the amount they spend.
显然，人们储蓄的增加与消费成反比。
2. the inverse relationship between prices and interest rates
价格和利率之间的反比关系
"
accidental,"adj.偶然的；意外的；无意中的
","1. an accidental discharge of toxic waste
有毒废料的意外排放
2. Buy an insurance policy that covers accidental damage .
购买一份意外损害保单。
"
certainty,"n.必然,肯定;必然的事
","1. He usually does quite well, but it’s not a certainty.
通常他都做得相当好，但也并不一定。
2. The only certainty is that there will need to be major changes.
唯一能够确定的事就是需要重大的变革。
"
refine,"v.改进；完善；精炼,精制,提纯
","1. Car makers are constantly refining their designs.
汽车制造商在不断完善他们的设计。
2. oil refining
石油的提炼
"
spectrum,"n.范围，幅度；光谱
","1. The two articles here represent opposite ends of the spectrum .
这里的两篇文章代表了两个极端的观点。
2. The two articles here represent opposite ends of the spectrum .
这里的两篇文章代表了两个极端的观点。
"
propose,"v.提议,建议；提出；求婚
","1. the changes currently proposed by the local planning authorities
目前由地方规划局提议的改革
2. the proposed budget cuts
所提出的预算削减
3. The resolution was proposed by the chairman of the International Committee.
那项决议是由国际委员会主席提出的。
4. Shaun proposed to me only six months after we met.
我们相识仅六个月，肖恩就向我求婚了。
"
recollect,"v.回忆,想起,记起,忆起,记得
","1. All I recollect is a grey sky.
我只记得一片灰色的天空。
"
allow,"v.允许，准许；承认
","1. We don’t allow diving in the pool.
泳池内禁止跳水。
2. The judge allowed the evidence.
法官接受了这项证据。
"
custom,"n.习惯,风俗,惯例；(pl.)海关
","1. He awoke early, as was his custom.
他很早醒来，这是他的习惯。
2. She was stopped at customs and questioned.
她在海关被叫住接受问话。
"
temple,"n.庙宇,神殿,寺；太阳穴
","1. ...a small Hindu temple.
…一座小的印度教寺庙。
"
equivalent,"adj.(to)相等的,等价的
n.相等物,等价物
","1. I had no dollars, but offered him an equivalent amount of sterling.
我没有美金，但给了他等值的英镑。
2. The word has no equivalent in English.
这个单词在英语中没有对应词。
"
discount,"n.折扣
v.不重视；打折扣
","1. They are often available at a discount.
它们经常可以以折扣价买到。
2. Experts discounted the accuracy of the polls.
专家对这次民意调查的准确性不以为然。
3. Games were discounted to as little as 5.
游戏减价到只要5美元。
"
comparative,"adj.比较的,相比的
","1. a comparative study of the educational systems of two countries
两国教育制度的比较研究
"
dictionary,"n.词典,字典
","1. a German-English dictionary
一本德英词典
"
design,"v.设计;构思;绘制
n.设计；图样
","1. The tower was designed by Gilbert Scott.
这座塔楼是吉尔伯特·斯科特设计的。
2. The new plane is in its final design stage.
这种新型飞机正处于最后的设计阶段。
3. the design for the new sports centre
新体育中心的设计图
"
congress,"n.(代表)大会；国会,议会
","1. a congress of the ruling Labor Party
执政党工党的代表大会
"
vertical,"adj.垂直的,竖的
n.垂线,垂直位置
","1. a vertical line
垂直线
2. the vertical axis of a graph
图的纵轴
3. vertical window blinds
垂直百叶窗
4. The wall is several degrees off the vertical.
这堵墙倾斜了有好几度。
"
indignant,"adj.愤慨的,愤慨不平的
","1. an indignant reply
愤慨的回复
"
entertain,"v.招待,款待；使娱乐;使欢乐
","1. Mark usually does the cooking when we entertain.
我们招待客人时通常都是马克下厨。
2. Do you get an allowance for entertaining clients?
你招待客户有补助吗？
3. A museum should aim to entertain as well as educate.
博物馆应该致力于成为娱乐和教育功能并重的场所。
"
efficiency,"n.效率；功效
","1. considerable advancements in energy efficiency
能源效率的显著提高
2. operating efficiencies
运营功效
"
loyalty,"n.忠诚
","1. Elizabeth understood her husband’s loyalty to his sister.
伊丽莎白理解丈夫对他姐姐的一片忠心。
"
volcano,"n.火山
","1. Pompeii was destroyed when the volcano erupted in 79 AD.
庞贝城于公元79年在火山爆发中毁灭。
"
negligible,"adj.可忽略不计的，微不足道的
","1. The damage done to his property was negligible.
对他财产造成的损失微不足道。
"
specification,"n.(常pl.)规格,说明书,规范
","1. The bolts met all the engineering specifications .
这些螺栓符合所有的工程设计规格。
"
gentleman,"n.绅士,先生
","1. Could you serve this gentleman please, Miss Bath?
巴思小姐，请你接待一下这位先生好吗？
2. Good morning, ladies and gentlemen .
早上好，女士们，先生们。
3. An elderly gentleman was asleep next to the fire.
一位老先生在火炉旁边睡着了。
"
preclude,"v.排除,阻止,妨碍
","1. rules that preclude experimentation in teaching methods
禁止进行教学方法试验的规定
"
apart,"adv&adj.〔空间〕分开（的），相距（的），相隔（的）
","1. They have offices in countries as far apart as India and Peru.
他们的办事处远至印度、秘鲁等国。
2. The police try to keep rival supporters apart at all matches.
警方在所有的比赛中都设法将双方的支持者分开。
3. A couple of men started fighting and we had to pull them apart .
几名男子打起架来，我们不得不将他们拉开。
4. Joel stood apart from the group, frowning.
乔尔皱着眉头，独自站在一边。
5. Their concept of a performance and our concept were miles apart.
他们对一场表演的概念和我们的概念相去甚远。
"
anonymous,"adj.匿名的，无名的，姓氏不明的
","1. the anonymous author of a collection of poems
一本诗集的佚名作者
2. According to one employee, who wishes to remain anonymous , the company engaged in illegal activities.
根据一位不愿透露姓名的员工所述，这家公司曾从事非法活动。
"
consider,"v.考虑，细想；认为；体谅，顾及
","1. We will have to consider your offer carefully .
我们得仔细考虑你的提议。
2. The local authority considered that the school did not meet requirements.
当地政府认为这所学校达不到要求。
3. You’ve got to learn to consider other people!
你得学会为别人着想！
"
consecutive,"adj.连续的；连贯的；顺序的
","1. It had rained for four consecutive days.
雨接连下了四天。
2. Can they win the title for the third consecutive season?
他们能连续第三个赛季赢得冠军称号吗？
"
spectacular,"adj.壮观的,引人注目的
n.壮观的演出
","1. a mountainous area with spectacular scenery
景色壮丽的山区
2. a spectacular success
辉煌的成就
3. a television spectacular
场面盛大的电视节目
"
directly,"adv.直接地,径直地；马上,立即
","1. The new property tax law won’t directly affect us.
新的财产税法不会直接影响到我们。
2. We hope to bring together the countries directly involved in the conflict.
我们希望让直接卷入冲突的各国重归于好。
3. Most guests left directly after the wake.
守灵仪式一结束，大部分客人就立刻走了。
"
economics,"n.经济学
","1. a Harvard professor of economics
哈佛大学的经济学教授
"
act,"v.行动，做事；表现；表演
n.行为；法令
","1. The jury decided that Walker had acted in self-defence.
陪审团裁定沃克的行为属于自卫。
2. He’s been acting strangely ever since his Mom died.
自从母亲死后，他的行为一直很怪。
3. I first started acting when I was 12 years old.
我12岁开始演戏。
4. a thoughtless act
轻率的举动
5. an act of Parliament
议会法令
"
compensation,"n.补偿费，赔偿金
","1. People who are wrongly arrested may be paid compensation .
被误抓的人有可能得到补偿费。
"
accountant,"n.会计人员，会计师
","1. The boss dropped an accountant from the payroll.
老板把一名会计师从在职人员名单中除了名。
"
resolute,"adj.坚决的,果断的
","1. resolute opposition
坚决的反对
2. resolute leadership
果断的领导
3. She remained resolute in her belief that the situation would improve.
她依然坚信情况将会好转。
"
sympathize,"v.(sympathise)(with)同情;共鸣,同感
","1. I sympathize, but I don’t know how to help.
我很同情，但不知道如何帮忙。
"
coherent,"adj.一致的，协调的；(话语等)条理清楚的
","1. The three years of the course are planned as a coherent whole.
这三年的课程是作为连贯的整体来安排的。
2. a coherent account of the incident
对该事件条理分明的陈述
3. He's so calm when he answers questions in interviews. I wish I could be that coherent.
他如此镇定地回答了访谈中的问题。我希望我也能那样有条不紊。
"
terminal,"adj.晚期的
n.终点(站)
","1. terminal cancer
晚期癌症
2. ferry/bus terminal
.渡船码头/公共汽车终点站
"
aside,"adv.在旁边，到一边
n.旁白；离题的话
","1. He pushed his half-eaten salad aside and left.
他推开吃了一半的色拉走了。
2. He stepped aside to let Katherine go in first.
他站到一边让凯瑟琳先进去。
3. Mark drew me aside and explained the problem.
马克把我拉到一边给我解释这个问题。
4. She swept her thick hair aside.
她把浓密的头发梳到一边。
"
criticize,"v.批评；指责；评论
","1. Ron does nothing but criticize and complain all the time.
罗恩什么也不干，只是一味指责和抱怨。
2. The new law has been widely criticized .
这项新法律受到了广泛的批评。
3. We look at each other’s work and criticize it.
我们交换作品，互相提出批评意见。
"
generalize,"v.(generalise)归纳,概括；推广,普及
","1. She has a tendency to generalize from her husband to all men.
她总爱把自己对丈夫的看法推及所有的男人。
2. Can we generalise this principle?
这个原理可以推而广之吗？
"
assistant,"adj.帮助的，辅助的
n.助手，助理，副手
","1. ...the assistant secretary of defence.
…助理国防部长。
2. a clerical assistant
文书助理
"
consent,"n.同意,赞成,答应
v.(to)同意，允许
","1. The chairman was elected by common consent (= with most people agreeing ) .
主席是大家一致推选出来的。
2. divorce by mutual consent
双方均同意的离婚
3. Her father reluctantly consented to the marriage.
她父亲勉强答应了这桩婚事。
"
magnificent,"adj.华丽的,高尚的,宏伟的
","1. a magnificent performance
气势恢宏的演出
2. The twelve-mile coastline has magnificent sce-nery.
这12英里的海岸线景色壮观。
3. She looked magnificent in a long red dress.
她穿着红色长裙，看起来美极了。
"
purpose,"n.目的,意图,用途,效果
","1. The purpose of the occasion was to raise money for medical supplies.
此次活动的目的是为医疗用品筹款。
"
partly,"adv.部分地,不完全地,在一定程度上
","1. The poor weather was partly responsible for the crash.
天气不好是造成坠机事故的部分原因。
2. The company’s problems are partly due to bad management.
那家公司的问题部分是由于管理不善造成的。
3. It is partly because of her sick mother that she hasn’t taken the job abroad.
她没有接受那份去国外的工作，部分原因是母亲病了。
4. The group is funded partly by the government.
那个团体的部分资金由政府提供。
"
participate,"v.(in)参与,参加
","1. Some members refused to participate.
有些会员拒绝参加。
"
assimilate,"v.吸收，消化；被吸收；被同化
","1. It will take time to assimilate all these facts.
充分掌握所有这些情况需要时间。
2. There is every sign that new Asian-Americans are just as willing to assimilate.
各种迹象表明新的亚裔美籍人简直一样愿意被同化。
"
appetite,"n.食欲，胃口；欲望
","1. Her husband always had a huge appetite.
她丈夫向来胃口极大。
2. Symptoms include tiredness and loss of appetite.
症状包括疲倦和食欲不振。
3. ...his appetite for success.
…他的成功欲望。
"
revenue,"n.财政收入；税收
","1. advertising revenue
广告收入
2. Strikes have cost £20 million in lost revenues .
罢工造成的收入损失达到2,000万英镑。
3. an increase in tax revenues of 8.4%
8.4%的税收增长
"
sentence,"n.句子；判决,宣判
v.宣判,判决
","1. His voice dropped at the end of the sentence.
到句子结尾处，他压低了嗓音。
2. She received an eight-year prison sentence.
她被判八年徒刑。
3. Sanchez was sentenced to three years in prison.
桑切斯被判了三年监禁。
"
dome,"n.圆屋顶
","1. ...the dome of the Capitol.
…国会大厦的穹顶。
"
fact,"n.事实,实际
","1. The book is full of facts about the World Cup.
这本书全是有关世界杯的真实信息。
"
side,"n.边，面，侧
v.支持
","1. Fuel is cheaper on the French side of the border.
燃料在边境那边的法国要便宜些。
2. A man stood watching me from the other side of the road.
有个男人站在马路的对面看着我。
3. His friends and family were all on the other side of the world.
他的朋友和家人都在地球的另一边。
4. The restaurant was empty apart from another couple on the far side of the room (= the area that is furthest away from you ) .
饭店里空空的，只有最那边还有一对夫妇。
5. Frank sided with David against their mother.
弗兰克站在戴维一边反对妈妈。
"
namely,"adv.即,也就是
","1. Three students were mentioned, namely John, Sarah and Sylvia.
有三名学生被提到，即约翰、萨拉和西尔维娅。
"
actual,"adj.实际的，真实的
","1. I’m not joking. Those were his actual words.
我没开玩笑，那都是他的原话。
2. I know Germany won, but I can’t tell you the actual score.
我知道德国队胜了，但我不知道确切的比分。
3. Interest is only charged on the actual amount borrowed.
利息只按实际借款额收取。
4. In actual fact (=  really  ) , there is little evidence to support the allegations.
事实上，这些指控几乎没有证据支持。
"
escape,"n.逃跑,逃脱
v.避开，逃避
","1. The girl had no chance of escape.
那女孩没有机会逃跑。
2. Christina hoped it wouldn’t be too long before she could make her escape.
克里斯蒂娜希望她很快就能逃脱。
3. an escape route
逃跑的路线
4. They had a lucky escape (= were lucky not to be hurt or killed ) when a car crashed into the front of their house.
一辆汽车迎面撞上了他们的房子，他们没有受伤真是幸运。
5. He narrowly escaped death in an avalanche.
他在一次雪崩中死里逃生。
"
provoke,"v.激起，引起；激怒，挑衅，使恼火
","1. The novel has provoked fierce debate in the US.
那部小说在美国引发了激烈的争论。
2. The dog would not have attacked if it hadn’t been provoked.
如果不是被惹恼了，那狗原本不会攻击的。
"
battle,"n.战役,战斗;斗争
v.战斗,斗争,搏斗
","1. the Battle of Trafalgar
特拉法尔加战役
2. a pitched battle (=  a long and serious battle  ) between police and drug gangs
警方和贩毒团伙之间的一场激战
3. Firefighters battled the flames.
消防员与烈火搏斗
"
timber,"n.木材,木料
","1. a bench made of timber
木制长椅
"
efficient,"adj.有效的,效率高的;有能力的,能胜任的
","1. a very efficient secretary
效率高的秘书
2. an efficient use of land
土地的有效使用
3. Lighting is now more energy efficient.
如今的照明设备更加节能。
"
device,"n.装置,设备,仪表
","1. modern labour-saving devices
省力的现代设备
"
company,"n.公司；陪伴；宾客；(一)群,队,伙
","1. Which company do you work for?
你在哪家公司上班？
2. I called the phone company about the bill.
我就电话账单的事给电话公司打了电话。
3. The company was set up just after the war.
这家公司是战后不久成立的。
4. The company directors have awarded themselves a massive pay increase.
公司的董事们给自己大幅加薪。
5. The two men enjoy each other’s company .
这两个人喜欢在一起。
6. We’re expecting company this evening.
今晚我们有客人要来。
7. He glanced around at the assembled company .
他向全体人群扫了一眼。
"
infect,"v.传染；影响
","1. People with the virus may feel perfectly well, but they can still infect others.
带有这种病毒的人可能毫无症状，却仍可能传染他人。
2. He thought they might infect others with their bourgeois ideas.
他认为他们可能用中产阶级思想去影响别人。
"
advent,"n.(重要事件等的)到来，来临
","1. the advent of the computer
计算机的问世
"
visible,"adj.看得见的, 明显的, 显著的
","1. The comet is visible to the naked eye (= can be seen without using special equipment ).
这颗彗星肉眼看得见。
2. Check the plant for any visible signs of disease.
检查一下植物是否有患病的迹象。
"
money,"n.货币,钱
","1. Don’t spend all your money on the first day of your holiday!
别在度假的第一天就把钱都花完了！
2. The repairs will cost quite a lot of money.
修理要花一大笔钱。
"
hesitate,"v.犹豫,踌躇
","1. The telephone rang. Catherine hesitated, debating whether to answer it.
电话响了。凯瑟琳迟疑着，考虑是否接听。
"
exceed,"v.超过,胜过；越出 (限制、规定)
","1. Working hours must not exceed 42 hours a week.
工作时间每周不得超过42小时。
2. His performance exceeded our expectations.
他的表现出乎我们的预料。
3. The riot police had exceeded their authority.
防暴警察超越了他们的权限。
"
meditate,"v.想,考虑；(尤指宗教上的)沉思,冥想
","1. She sat quietly, meditating on the day’s events.
她静静地坐着，思考着这一天发生的事。
2. I try to meditate for half an hour every evening.
我每天晚上尽量默想半小时。
"
prosecute,"v.指控，公诉；起诉，告发；继续从事
","1. The attorney who will prosecute the case says he cannot reveal how much money is involved.
将起诉这件案子的原告律师说他不能透漏涉案金额。
2. The police have decided not to prosecute because the evidence is not strong enough.
警方已决定不起诉，因为证据不够充分。
3. We cannot prosecute the investigation further.
我们无法继续调查下去。
"
visit,"n.访问,参观
v.访问,参观；视察
","1. We’re just here on a short visit.
我们只在这儿作短暂逗留。
2. Why don’t you come for a visit this summer?
你们何不今年夏天来这里做客呢？
3. I decided to pay him a visit at his office.
我决定去他的办公室拜访他。
4. I’m only here for the weekend – just a flying visit this time.
我在这里只过个周末这次逗留时间很短。
5. his first official visit to Britain as Russian President
他当选俄罗斯总统后的首次正式访问英国
6. The town is well worth a visit.
这个小镇绝对值得一看。
7. Which cities did you visit in Spain?
你在西班牙去了哪些城市？
8. The building inspector is visiting the new housing project.
建筑监察员正在视察这个新的住房项目。
"
valley,"n.(山)谷;流域
","1. the San Fernando Valley
圣费尔南多山谷
"
acrobat,"n.特技演员，杂技演员
","1. The acrobat balanced himself on the high rope.
杂技演员在高绳上保持平衡。
2. Leggy models and a child acrobat wait offstage at a pop music concert in Ulaanbaatar.
乌兰巴托的一场流行音乐会会场外，一群美腿模特和一位少年杂技演员正在等待入场。
"
exceedingly,"adv.极端地,非常
","1. Thank you. You’ve been exceedingly kind.
谢谢，你真是太好了。
"
supermarket,"n.超级市场
","1. Most of us do our food shopping in the supermarket.
我们大多数人在这家超市采购食品。
"
polite,"adj.有礼貌的,客气的;有教养的,文雅的
","1. She’s always very polite.
她总是很有礼貌。
2. polite, well-behaved children
懂礼貌、守规矩的孩子
3. a clear but polite request
明确但客气的请求
4. It’s not polite to talk with your mouth full.
满嘴食物时讲话是不礼貌的。
"
particular,"adj.特定的，特指的；特殊的，特别的；讲究的；挑剔的
n.细节，详情
","1. In this particular case, no one else was involved.
这件事没有其他人牵涉其中。
2. Most students choose one particular area for research.
大多数学生选择一个特定领域进行研究。
3. a particular type of food
某一类食品
4. For no particular reason , he quit the job.
没有什么特别原因他就辞了工作。
5. Marty’s very particular about his food.
马蒂对食物很挑剔。
6. For further particulars , contact the College secretary.
欲了解详情，请与学院秘书联系。
"
degenerate,"v.衰退,堕落,蜕化
adj.堕落的
n.堕落者
","1. Inactivity can make your joints stiff, and the bones may begin to degenerate.
不活动会使关节僵硬，骨骼因此可能会开始退化。
2. The painting was condemned as ‘degenerate’.
这幅画被谴责为 “有伤风化” 。
"
eligible,"adj.符合条件的；(尤指婚姻等)合适(意)的
","1. Students on a part-time course are not eligible for a loan.
非全日制课程的学生没有资格申请贷款。
2. Stephen was regarded as an eligible bachelor.
斯蒂芬被认为是一个钻石王老五。
"
incur,"v.招致,惹起,遭受
","1. She wondered what she’d done to incur his displeasure this time.
她奇怪她这次做了什么引起他的不悦。
"
occupation,"n.职业,工作；占领,占据
","1. Please state your name, address and occupation.
请写明你的姓名、地址和职业。
2. professional and managerial occupations
专业及管理工作
3. manual occupations
体力工作
4. the German occupation of France
德军对法国的占领
"
apology,"n.道歉，认错
","1. The minister had to issue a formal public apology for his remarks.
部长不得不为他的言论作出正式的公开道歉。
"
malignant,"adj.恶性的，致命的；恶意的，恶毒的
","1. She developed a malignant tumour in her breast.
她的乳房长了个恶性肿瘤。
2. a malignant look
恶毒的目光
"
fragrant,"adj.香的;芬芳的
","1. fragrant flowers
芳香的花朵
"
contempt,"n.轻视，藐视；受辱，丢脸
","1. The public is treated with contempt by broadcasters.
公众受到了节目主持人的轻蔑对待。
2. How could she have loved a man who so clearly held her in contempt ?
她怎么会爱上一个明显看不起她的男人呢？
"
assembly,"n.议会；集合；装配
","1. the speaker of the California state assembly
加利福尼亚州议会议长
2. Restrictions on freedom of assembly have gradually been relaxed.
对集会自由的限制渐渐放宽了。
3. instructions for assembly
装配说明（书）
"
transform,"v.改变,改造
","1. Increased population has transformed the landscape.
人口的增加使景观发生了变化。
"
