word,trans,example
plain,"adj.平的；简单的；朴素的；清晰的
n.平原；无格式；朴实无华的东西
adv.清楚地；平易地
","1. The document, written in plain English, tells you about your new policy.
这份文件用简明的英语写成，解释了你们的新政策。
"
foul,"adj.犯规的；邪恶的；污秽的；淤塞的
v.犯规；弄脏；淤塞；缠住，妨害
n.犯规；缠绕
adv.违反规则地，不正当地
","1. Refugees in the camps are short of food and at risk from foul water.
营中难民缺少食物，还面临水源污染的危险。
2. extractor fans to remove foul air from the tunnel
排出隧道污浊空气的排气扇
"
consult,"v.查阅；商量；向…请教
","1. If symptoms persist, consult a doctor without delay.
如果症状持续的话，马上咨询医生。
"
ladder,"n.阶梯；途径；梯状物
v.成名；发迹
","1. She climbed up the ladder.
她爬上梯子。
2. He hurt himself falling off a ladder.
他从梯子上摔下来受了伤。
"
centigrade,"adj.摄氏的；[仪] 摄氏温度的；百分度的
","1. ...daytime temperatures of up to forty degrees centigrade.
…高达40摄氏度的日间气温。
"
dilemma,"n.困境；进退两难；两刀论法
","1. a moral dilemma
道德上进退两难的窘境
2. This placed Robert Kennedy in a dilemma.
这让罗伯特·肯尼迪陷入了两难的境地。
3. Many women are faced with the dilemma of choosing between work and family commitments.
许多女性面临着出去工作还是照顾家庭的两难境地。
"
halt,"v.停止；立定；踌躇，犹豫
n.停止；立定；休息
","1. The government has failed to halt economic decline.
政府没能阻止经济衰退。
2. Safety concerns have led them to halt work on the dam.
出于安全方面的顾虑，他们已经停止水坝的施工。
"
countryside,"n.农村，乡下；乡下的全体居民
","1. The house had lovely views over open countryside .
这房子望出去是开阔的乡村美景。
"
relay,"v.转播；接替
n.[电] 继电器；接替，接替人员；驿马
","1. The broadcasts were relayed by satellite.
这些电视节目通过卫星进行转播。
"
generalize,"v.概括；推广；使一般化
","1. Can we generalise this principle?
这个原理可以推而广之吗？
"
sarcastic,"adj.挖苦的；尖刻的，辛辣的
","1. Was she being sarcastic?
她是在嘲讽吗？
"
bibliography,"n.参考书目；文献目录
","1. At the end of this chapter there is a select bibliography of useful books.
本章末尾附着有用书籍的精选书目。
"
dealer,"n.经销商；商人
","1. ...an antique dealer.
…一位古董商。
"
circular,"adj.循环的；圆形的；间接的
n.通知，传单
","1. a circular table
圆桌
"
airport,"n.机场；航空站
","1. The plane landed at Heathrow Airport.
飞机降落在希思罗机场。
2. Her family went to see her off at the airport.
她的家人去机场送她。
"
periodical,"adj.[数] 周期的；定期的
n.期刊；杂志
","1. She made periodical visits to her dentist.
她定期去看牙医。
"
brutal,"adj.残忍的；野蛮的，不讲理的
","1. a brutal man
一个凶残的男人
"
projector,"n.[仪] 投影仪；放映机；探照灯；设计者
","1. ...a slide projector.
…幻灯机。
"
sturdy,"adj.坚定的；强健的；健全的
n.羊晕倒病
","1. a sturdy young man
健壮的小伙子
2. sturdy legs
结实的双腿
"
yawn,"n.哈欠；裂口
v.打哈欠；裂开
","1. Rosanna stifled a huge yawn.
罗莎娜忍住了一个大哈欠。
"
ash,"n.灰；灰烬
","1. cigarette ash
香烟灰
2. The house burnt to ashes.
那房子烧成了灰烬。
"
plug,"n.插头；塞子；栓
v.塞住；用插头将与电源接通
","1. the bath plug
浴缸塞子
"
picnic,"n.野餐
v.去野餐
","1. We decided to have a picnic down by the lake.
我们决定在湖边野餐。
2. a picnic table
野餐桌
3. There is free parking for visitors, as well as a restaurant and picnic area (= a special area with tables where people can have a picnic ) .
除了餐厅和野餐区，我们还为游客提供免费停车位。
"
tomorrow,"n.明天；未来
adv.明天；未来地（等于to-morrow）
","1. I’ll see you at tomorrow’s meeting.
明天会上见。
"
ship,"v.运送，乘船；以船运送
n.船；舰；太空船
","1. We'll ship your order to the address we print on your cheques.
我们将把你预订的货物送到我们印在你单据上的地址。
"
pail,"n.桶，提桶
","1. a milk pail
牛奶桶
"
stranger,"n.陌生人；外地人；局外人
","1. Children must not talk to strangers.
小孩子千万不要同陌生人说话。
"
qualitative,"adj.定性的；质的，性质上的
","1. There are qualitative differences in the way children of different ages and adults think.
不同年龄的儿童和成人在思维方式上有着质的差异。
"
glamor,"n.魅力；魔法；迷人的美（等于glamour）
vt.迷惑；使有魅力（等于glamour）
","1. But when it comes down to it, we cannot ignore a film franchise that has been successfully thrilling us with action and glamor for over 40 years.
但是说起这类影片的时候，我们就无法忽视一部电影的特殊魅力。 它成功地运用动作特技和魅力吸引了我们40多年。
2. More important is the use of that '50s-style illustration, which creates a perfect merger of glamor, celebrity and style announcing an issue that covers the magazine's long history.
其次，封面运用了50年代风格，完美揉合了魅力、名人和格调，仿佛说出了这期杂志浓缩的全部历史。
"
spit,"v.吐痰；吐口水；发出劈啪声
n.唾液
","1. Nick rolled down his window and spat.
尼克摇下窗子，啐了口唾沫。
"
evaporate,"v.使……蒸发；使……脱水；使……消失
","1. Most of the water had evaporated.
大部分的水都蒸发了。
2. The sun evaporates moisture on the leaves.
太阳会蒸发叶子上的水分。
"
spin,"v.旋转；纺纱；吐丝；晕眩
n.旋转；疾驰
","1. The plane’s propellers were spinning.
飞机的螺旋桨在快速旋转。
"
litter,"n.垃圾；轿，担架；一窝（动物的幼崽）；凌乱
v.乱丢；给…垫褥草；把…弄得乱七八糟
","1. People who drop litter can be fined in some cities.
在有些城市，乱扔垃圾的人会被罚款。
2. a town with a litter problem
存在乱扔垃圾问题的一个小镇
"
fore,"adj.以前的；在前部的
n.前部；船头
adv.在前面；在船头
prep.在前
int.（打高尔夫球者的叫声）让开！
","1. There had been no direct damage in the fore part of the ship.
没有对船的前部造成直接损坏。
"
hum,"v.发低哼声
n.嗡嗡声；哼声；杂声
int.哼；嗯
","1. He began to hum a tune.
他开始哼唱一支曲子。
"
spear,"n.矛，枪
v.用矛刺
","1. I fended off his sword thrust with my spear.
他一刀砍来， 我拿枪架住。
2. He transfixed the enemy's heart with a spear.
他用长矛刺穿了敌人的心脏。
3. Yes,of course. My shield is the strongest.It can stop any spear in the world.
当然是了。我的盾是最结实的，它能抵挡住世界上任何矛。
"
hut,"n.小屋；临时营房
vt.使住在小屋中；驻扎
vi.住在小屋中；驻扎
","1. a wooden hut
小木屋
"
apt,"adj.恰当的；有…倾向的；灵敏的
n.(Apt)人名；(法、波、英)阿普特
","1. ‘Love at first sight’ is a very apt description of how he felt when he saw her.
用“一见钟情”来形容他见到她时的感觉再恰当不过。
"
mayor,"n.市长
","1. the election of the London mayor
选举伦敦市长
"
frown,"v.皱眉；不同意
n.皱眉，蹙额
","1. She frowned as she read the letter.
她看着信皱起了眉头。
"
exquisite,"adj.精致的；细腻的；优美的，高雅的；异常的；剧烈的
n.服饰过于讲究的男子
","1. the most exquisite craftsmanship
最精美的工艺
"
scatter,"v.分散，散开；散射
n.分散；散播，撒播
","1. The sound of gunfire made the crowd scatter in all directions.
枪声使人群四散奔逃。
"
outbreak,"n.（战争的）爆发；（疾病的）发作
vi.爆发
","1. a cholera outbreak
霍乱的爆发
"
blackboard,"n.黑板
","1. He chalked out a design on the blackboard.
他用粉笔在黑板上勾划出一个图样。
2. She rubbed the exercises off the blackboard after class.
下课后她把习题从黑板上擦掉。
3. The teacher knocked on the blackboard to catch our attention.
老师敲了敲黑板以引起我们的注意。
"
devise,"v.设计；想出；发明；图谋；遗赠给
n.遗赠
","1. She devised a method for quicker communications between offices.
她想出一种加快办公室之间通信联络的方法。
"
noun,"n.名词
","1. An adjective must agree with  its noun in mumber and case.
形容词在数和格方面必须符合其所修饰的名词。
2. In “the black cat” the adjective “black”modifies the noun “cat”.
在“那只黑猫”中，形容词“黑的”修饰名词“猫”。
3. On the spines of books shelved in certain libraries and bookstores you will see OATES but this is a descriptive term, this is not a noun.
在某些图书馆或书店里某些图书的书脊上，你会看见“欧茨”，但这里的“欧茨”不能作名词解，它是个描述性的词语。
"
propel,"v.推进；驱使；激励；驱策
","1. a boat propelled by a small motor
由小马达驱动的小船
2. One of our students was unable to propel her wheelchair up the ramp.
我们有名学生无法把她的轮椅推上坡道。
"
persevere,"v.坚持；不屈不挠；固执己见（在辩论中）
","1. It can be tricky at first, but persevere.
一开始会有些棘手，不过要坚持。
"
bosom,"n.胸；胸怀；中间；胸襟；内心；乳房；内部
v.怀抱；把…藏在心中
adj.知心的；亲密的
","1. She cradled the child to her bosom.
她把那孩子抱入怀中。
2. They were bosom buddies.
他们曾是知心的伙伴。
"
cigaret,"n.香烟；纸烟（等于cigarette）
","1. The busboy who alerted patrons of the fire at the Hills Super Club said that cigaret butts dumped into soiled tablelinen may have caused the fatal blaze.
向客人惊呼希尔斯高级俱乐部起火了的餐厅侍者说，这场损失惨重的大火很可能是由于把香烟蒂到在弄脏了的桌布里引起的。
2. RA 7171 plows back annually 15 percent of cigaret excise tax revenues collected by the National Government to the virginia leaf producing provinces of Ilocos Sur, Ilocos Norte, La Union and Abra.
RA 7171把国家政府每年征收的卷烟消费税，每年向弗吉尼亚烟叶生产省南伊洛克斯省、北伊洛克斯省、拉乌尼翁和埃尔阿布拉再投资15%。
"
pack,"n.包装；一群；背包；包裹；一副
v.包装；压紧；捆扎；挑选；塞满
","1. Send away for your free information pack today.
今天就来函索取免费资料包吧。
"
fool,"v.欺骗；开玩笑；戏弄
n.傻瓜；愚人；受骗者
adj.傻的
","1. Even art experts were fooled.
连艺术品专家也被骗了。
"
amplifier,"n.[电子] 放大器，扩大器；扩音器
",
dismay,"n.沮丧，灰心；惊慌
v.使沮丧；使惊慌
","1. The thought of leaving filled him with dismay .
想到要离开，他心里充满了忧伤。
2. The committee was dismayed by what it had been told.
该委员会被所告知的情况搞得焦虑不安。
"
contaminate,"v.污染，弄脏
","1. Drinking water supplies are believed to have been contaminated.
据信饮用水已受到污染。
"
shoe,"n.鞋；蹄铁；外胎
v.给……穿上鞋；穿……鞋
","1. I sat down and took off my shoes and socks.
我坐下来脱掉鞋子和袜子。
2. What size shoes do you take?
你穿几号的鞋子？
"
awe,"v.使敬畏；使畏怯
n.敬畏
","1. The girls were awed by the splendour of the cathedral.
女孩们对大教堂的宏伟气势大为惊叹。
"
millionaire,"n.百万富翁；大富豪
adj.100万以上人口的
","1. an American millionaire
一位美国百万富翁
2. a millionaire businessman
一位富商
"
pact,"n.协定；公约；条约；契约
","1. the Warsaw pact
华沙条约
"
pathetic,"adj.可怜的，悲哀的；感伤的；乏味的
","1. The child looked a pathetic sight.
那个孩子看上去很可怜。
"
revenge,"n.报复；复仇
v.报复；替…报仇；洗雪
","1. The attackers were said to be taking revenge on the 14-year-old, claiming he was a school bully.
攻击者被称是在报复一名14岁男孩，称他是学校一霸。
"
yard,"n.院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt.把…关进或围在畜栏里
","1. a hundred yards away
100码外
2. an area of 9,000 square yards
面积为9,000平方码的一片区域
"
testimony,"n.[法] 证词，证言；证据
","1. Barker’s testimony is crucial to the prosecution’s case.
巴克的证词对控方的指控起到了关键作用。
2. In his testimony, he denied that the company had ignored safety procedures.
他在证词中否认公司忽视了安全程序。
"
excess,"n.超过，超额；过度，过量；无节制
adj.额外的，过量的；附加的
","1. After you apply the oil, wait 20 minutes before wiping off any excess.
涂上油以后，等20分钟再擦掉多余部分。
"
beneficial,"adj.有益的，有利的；可享利益的
","1. a drug that has a beneficial effect on the immune system
有益于免疫系统的一种药物
2. an arrangement that is mutually beneficial
一项互惠互利的协定
"
fond,"adj.喜欢的；温柔的；宠爱的
n.(Fond)人名；(法)丰；(瑞典)丰德
","1. Joe’s quite fond of her, isn’t he?
乔很喜欢她，是不是？
2. Over the years we’ve grown very fond of each other.
这些年来，我们渐渐喜欢上了对方。
"
scarcely,"adv.几乎不，简直不；简直没有
","1. The city had scarcely changed in 20 years.
这座城市20年中几乎没有什么改变。
2. The country had scarcely any industry.
该国几乎没有工业。
3. He scarcely ever left the region.
他几乎没有离开过这个地区。
"
intrigue,"n.阴谋；诡计；复杂的事；私通
v.用诡计取得；激起的兴趣
","1. It’s an exciting story of political intrigue and murder.
那是一个关于政治阴谋和谋杀的故事，扣人心弦。
2. a web of intrigue 
一套阴谋诡计
"
intuition,"n.直觉；直觉力；直觉的知识
","1. feminine intuition
女性的直觉
2. Intuition told her it was unwise to argue.
直觉告诉她争吵是不理智的。
"
monument,"n.纪念碑；历史遗迹；不朽的作品
vt.为…树碑
","1. He erected a monument on the spot where his daughter was killed.
他在女儿遇难的地方立了块纪念碑。
"
maiden,"adj.未婚的，处女的；初次的
n.少女；处女
","1. In 1912, the Titanic sank on her maiden voyage.
1912年，泰坦尼克号首次航行时沉没。
"
lock,"v.锁，锁上；隐藏
n.锁；水闸；刹车
","1. Did you lock the car?
你把汽车锁好了吗？
2. I can’t get this drawer to lock.
我没法把这个抽屉锁上。
"
denounce,"v.谴责；告发；公然抨击；通告废除
","1. The group denounced the failure by the authorities to take action.
该团体谴责当局没有采取行动。
"
superficial,"adj.表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
","1. They only have the most superficial understanding of prison life.
他们对监狱生活只有最粗浅的了解。
"
menace,"n.威胁；恐吓
v.恐吓；进行威胁
","1. There was menace in his voice.
他的语气里带着威胁。
"
specification,"n.规格；说明书；详述
","1. The bolts met all the engineering specifications .
这些螺栓符合所有的工程设计规格。
"
gauge,"n.计量器；标准尺寸；容量规格
v.测量；估计；给…定规格
","1. Retail sales are a gauge of consumer spending.
零售额是衡量消费支出的一个标准。
"
supersonic,"adj.超音速的；超声波的
n.超音速；超声波
","1. supersonic aircraft
超音速飞机
"
haul,"n.拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
v.拖运；拖拉
","1. The gang escaped with a haul worth hundreds of pounds.
匪徒带着价值几百英镑的赃物逃跑了。
"
stocking,"n.长袜
","1. I want you stuffed in my stocking.
我只要你塞在我的袜子里。
2. The Christmas stocking bulged with goodies.
圣诞节袜子里塞满了好吃的东西。
3. She ran her silk stocking on a nail last night.
她昨天夜晚丝袜被钉子钩住，抽了丝。
"
shatter,"v.粉碎；打碎；破坏；破掉；使散开
n.碎片；乱七八糟的状态
","1. The explosion shattered the building.
这次爆炸把大楼炸成一片废墟。
"
furnish,"v.提供；供应；装备
","1. Will these finds furnish more information on prehistoric man?
这些发现是否能提供更多有关史前人类的资料？
"
autonomy,"n.自治，自治权
","1. campaigners who want greater autonomy for Corsica
希望科西嘉有更多自治权的活动家
"
sprinkle,"n.撒，洒；少量
v.洒；微雨；散置
",
trick,"n.诡计；恶作剧；窍门；花招；骗局；欺诈
v.欺骗；哄骗；装饰；打扮
adj.特技的；欺诈的；有决窍的
","1. Pretending he doesn’t remember is an old trick of his.
假装不记得是他的老花招了。
2. He didn’t really lose his wallet - that’s just a trick.
他并没有真的丢了钱包——这只是一个骗局。
"
distinction,"n.区别；差别；特性；荣誉、勋章
","1. There are obvious distinctions between the two wine-making areas.
这两个酿酒区之间有明显的不同。
"
spaceship,"n.[航] 宇宙飞船
","1. ...an alien spaceship.
…一艘外星人的宇宙飞船。
"
comic,"adj.喜剧的；滑稽的；有趣的
n.连环漫画；喜剧演员；滑稽人物
","1. a comic novel
滑稽小说
"
texture,"n.质地；纹理；结构；本质，实质
","1. a designer who experiments with different colours and textures
尝试不同色彩和材质的设计师
"
differentiate,"v.区分，区别
","1. What differentiates these two periods of history?
这两个历史时期的差别在哪里？
"
rigid,"adj.严格的；僵硬的，死板的；坚硬的；精确的
","1. rigid and authoritarian methods of education
死板、专断的教育方法
"
deadly,"adj.致命的；非常的；死一般的
adv.非常；如死一般地
","1. a deadly poison
致命的毒药
2. a deadly weapon
致命武器
"
junction,"n.连接，接合；交叉点；接合点
","1. the junction of Abbot Road and Mill Street
阿伯特路与米尔街的交叉口
2. Junction 5 on the M40 
40号高速公路上的第5交叉口
"
cheque,"n.支票
","1. You could write her a cheque .
你可以给她开张支票。
"
typist,"n.打字员，打字者
","1. I’m a slow typist.
我打字很慢。
"
naughty,"adj.顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
","1. You’re a very naughty boy! Look what you’ve done!
你真是个淘气鬼！瞧你干了些什么！
"
secondary,"adj.第二的；中等的；次要的；中级的
n.副手；代理人
","1. the novel’s secondary characters
这本小说中的次要人物
"
fantasy,"n.幻想；白日梦；幻觉
adj.虚幻的
v.空想；想像
","1. I used to have fantasies about living in Paris with an artist.
我过去常幻想着在巴黎与一位艺术家同住。
2. sexual fantasies
性幻想
3. Young children sometimes can’t distinguish between fantasy and reality.
小孩子有时不能区分幻想与现实。
4. He lived in a fantasy world of his own, even as a small boy.
甚至还是个小孩子的时候，他就生活在一个幻想世界里。
5. Haskins said he has been playing fantasy baseball for the past five years.
哈斯金斯说他在过去的５年里一直在打梦幻棒球游戏。
"
suburb,"n.郊区；边缘
","1. a London suburb
一个伦敦郊区
2. a kid from the suburbs
来自郊区的小孩子
"
conversation,"n.交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
","1. a telephone conversation
电话交谈
2. Children quickly get bored by adult conversation.
儿童对成年人的谈话很快就会厌倦。
3. They had a short conversation in German and seemed to be disagreeing about something.
他们用德语说了一会儿，好像对什么事有分歧。
4. It’s impossible to carry on a conversation with all this noise in the background.
在这么喧闹的环境中进行谈话是不可能的。
5. ‘Did you have a good journey?’ he said, trying to make conversation .
“你旅途愉快吗？”他问道，试图找话谈。
6. He was silent, no matter how hard Sofia tried to engage him in conversation .
无论索菲娅怎么引他说话，他就是一声不吭。
7. After a while, the conversation turned to a friend’s coming wedding.
过了一会儿，话题就转到一个朋友即将举行的婚礼上去了。
8. They were deep in conversation , relaxed and smiling.
他们谈得很投入，很放松，脸上带着微笑。
9. He could hear snatches of conversation from across the room.
他从房间对面听得到零星的对话。
"
foundation,"n.基础；地基；基金会；根据；创立
","1. It took the builders three weeks to lay the foundations .
建筑工人花了三星期的时间打地基。
2. The earthquake shook the foundations of the house.
地震动摇了那幢房子的地基。
"
trial,"n.试验；审讯；努力；磨炼
adj.试验的；审讯的
","1. a new drug that is undergoing clinical trials
正在接受临床试验的一种新药
"
tragic,"adj.悲剧的；悲痛的，不幸的
","1. The parents were not to blame for the tragic death of their son.
儿子的惨死不是他父母的错。
2. Lillian Board’s death at 22 was a tragic loss for British athletics.
莉莲•博德22岁早逝，这对英国田径界来说是个惨痛的损失。
"
sophisticated,"adj.复杂的；精致的；久经世故的；富有经验的
v.使变得世故；使迷惑；篡改（sophisticate的过去分词形式）
","1. sophisticated software
很先进的软件
2. a highly sophisticated weapons system
非常精密的武器系统
"
ridiculous,"adj.可笑的；荒谬的
","1. That’s a ridiculous idea!
那主意很荒唐！
2. Don’t be ridiculous!
别傻了！
3. I’d look ridiculous in a dress like that.
我穿那样的裙子会显得很可笑。
"
purple,"adj.紫色的；帝王的；华而不实的
n.紫色；紫袍
v.变成紫色
","1. His face turned purple with rage.
他气得脸色发紫。
"
tribe,"n.部落；族；宗族；一伙
","1. a tribe of Aborigines known as the Dolphin People
一个叫“海豚族”的澳大利亚土著部落
"
jazz,"n.爵士乐，爵士舞；喧闹
v.奏爵士乐，跳爵士舞；游荡
adj.爵士乐的；喧吵的
","1. a jazz band
爵士乐队
2. a jazz club
爵士乐俱乐部
3. modern jazz
现代爵士乐
"
hazard,"v.赌运气；冒…的危险，使遭受危险
n.危险，冒险；冒险的事
","1. $50,000? I don’t know. I’m only hazarding a guess.
5万美元？我不知道，我只是瞎猜。
"
excel,"v.超过；擅长
","1. Mary was a better rider than either of them and she excelled at outdoor sports.
玛丽比他们俩骑得都好，她擅长户外运动。
"
solar,"adj.太阳的；日光的；利用太阳光的；与太阳相关的
n.日光浴室
","1. a solar eclipse
日食
"
distill,"v.提取；蒸馏；使滴下
","1. distilled water
蒸馏水
"
hinge,"n.铰链，折叶；关键，转折点；枢要，中枢
v.用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰
","1. The top swung open on well-oiled hinges.
盖子在上好油的折叶上一下子弹开了。
"
guest,"n.客人，宾客；顾客
v.款待，招待
adj.客人的；特邀的，客座的
","1. a banquet for 250 distinguished guests
250位贵宾出席的宴会
2. Among the invited guests were Jerry Brown and Elihu Harris.
受邀的嘉宾中有杰里·布朗和伊莱休·哈里斯。
3. The actress was guest of honour (= the most important guest ) at the launch.
这位女演员是首发式上的贵宾。
4. I’ve nearly finished the guest list for the wedding.
参加婚礼的嘉宾名单我差不多准备好了。
"
bullet,"n.子弹；只选某党全部候选人的投票；豆子
vi.射出；迅速行进
","1. He was killed by a single bullet.
他被一枪打死。
2. a bullet wound in the shoulder
肩上的枪伤
3. Several bullet holes could be seen beside a window.
窗户边可以看到几个弹孔。
"
rehearsal,"n.排演；预演；练习；训练；叙述
","1. a wedding rehearsal
婚礼的预演
"
compact,"n.合同，契约；小粉盒
adj.紧凑的，紧密的；简洁的
v.使简洁；使紧密结合
","1. The bushes grew in a compact mass.
灌木长成茂密的一片。
"
rope,"n.绳，绳索
v.捆，绑
","1. They tied a rope around my waist and pulled me up.
他们在我腰间系了一根粗绳子，把我拉了上去。
2. The man was coiling a length of rope.
那人正在卷一段绳子。
"
witch,"n.巫婆，女巫
v.迷惑；施巫术
","1. She was swindled out of ￡ 1,000 by a witch.
她被一个女巫骗了一千英镑。
2. The old witch said she could raise the dead.
老巫婆说她能起死回生。
3. A witch was supposed to take the shape of a cat.
据说女巫会化为猫的形状。
"
lorry,"n.（英）卡车；[车辆] 货车；运料车
","1. Now and then they heard the roar of a heavy lorry.
他们不时听见一辆重型卡车的轰响声。
"
execute,"v.实行；执行；处死
","1. 13 people were summarily executed (= killed without any trial or legal process ) by the guerrillas.
有13人被游击队员就地处决。
"
fax,"v.传真
n.传真
","1. I faxed a copy of the agreement to each of the investors.
我给每位投资者都传真了一份协议副本。
"
pickup,"n.收集，整理；小卡车；拾起；搭车者；偶然结识者
",
notable,"adj.值得注意的，显著的；著名的
n.名人，显要人物
","1. Every country in the world signed the treaty, with one notable exception - the United States.
全世界每个国家都签署了那份条约，只有一个国家反其道而行之，就是美国。
"
yesterday,"n.昨天；往昔
adv.昨天
","1. yesterday’s meeting
昨天的会议
2. They arrived the day before yesterday.
他们前天到的。
"
canvas,"n.帆布
v.用帆布覆盖，用帆布装备
adj.帆布制的
","1. a canvas bag
帆布包
"
label,"v.标注；贴标签于
n.标签；商标；签条
","1. Label the diagram clearly.
把图表标示清楚。
"
rural,"adj.农村的，乡下的；田园的，有乡村风味的
","1. a rural setting
乡村环境
2. rural bus routes
乡村公共汽车路线
"
roof,"n.屋顶；最高处，顶部；最高限度
v.给…盖屋顶，覆盖
","1. They finally found the cat up on the roof.
他们最后在屋顶上找到了那只猫。
2. a flat roof
平顶
3. a pitched roof
斜顶
"
procession,"n.队伍，行列；一列，一排；列队行进
vi.列队行进
vt.沿著……行进
","1. They marched in procession to the Capitol building.
他们列队向国会大厦行进。
"
leak,"n.泄漏；漏洞，裂缝
v.使渗漏，泄露
","1. There is a leak in the ceiling.
天花板上有条裂缝。
2. The boat had sprung a leak (= a hole had appeared in it ).
小船出现了漏洞。
"
tough,"adj.艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
n.恶棍
v.坚持；忍受，忍耐
adv.强硬地，顽强地
","1. The men who work on the oil rigs are a tough bunch.
在石油钻塔上工作的都是吃苦耐劳的人。
"
curriculum,"n.课程
","1. Languages are an essential part of the school curriculum.
语言是学校课程中必不可少的部分。
2. curriculum planning
课程安排
"
leap,"v.跳，跳跃
n.飞跃；跳跃
","1. My heart leaped when I saw Paul at the airport.
在机场看到保罗时，我的心猛地一跳。
"
sweater,"n.毛线衣，运动衫；大量出汗的人，发汗剂
","1. Somebody pinched my sweater.
有人偷了我的运动衫。
"
indoor,"adj.室内的，户内的
","1. an indoor swimming pool
室内游泳池
2. the world indoor athletics championship
世界室内田径锦标赛
3. Too much central heating can harm indoor plants.
中央供暖系统温度太高对室内植物有害。
"
nap,"n.小睡，打盹儿；细毛；孤注一掷
v.使拉毛
","1. an afternoon nap
午睡
"
indication,"n.指示，指出；迹象；象征
","1. Could you give me some indication as to when I am likely to receive a reply?
你能给我透露一下什么时候我能收到回复吗？
2. Indications are that the situation hasn’t improved much.
迹象表明局势并没有多大好转。
3. There is every indication (= there are very clear signs ) that it is true.
很明显这是真的。
"
occasion,"n.时机，机会；场合；理由
v.引起，惹起
","1. His remark was the occasion of a bitter quarrel.
他的话引起了一场激烈的争吵。
2. I had occasion to call on him last year.
去年我因事去拜访过他。
"
rational,"adj.合理的；理性的
n.有理数
","1. Parents need to be fully informed so they can make a rational decision.
父母需要充分了解情况，这样才可以作出合理的决定。
2. I’m sure there’s a rational explanation for all this.
我相信这一切都有合理的解释。
3. It’s impossible to have a rational conversation with him.
不可能和他进行理性的谈话。
"
circulate,"v.传播，流传；循环；流通
","1. Swimming helps to get the blood circulating through the muscles.
游泳有助于肌肉的血液循环。
2. Ceiling fans circulated warm air around the room.
吊扇使暖空气在房间里循环。
"
noticeable,"adj.显而易见的，显著的；值得注意的
","1. Alcohol has a noticeable effect on the body.
酒精对身体有明显的影响。
2. It was noticeable that many of them avoided answering the question.
显而易见，他们中的许多人对这个问题都避而不答。
"
obsolete,"adj.废弃的；老式的
n.废词；陈腐的人
vt.淘汰；废弃
","1. obsolete weapons
已被淘汰的武器
2. computer hardware that quickly became obsolete
很快就变得过时的电脑硬件
3. Will computers render (= make ) books obsolete?
计算机会把书籍淘汰掉吗？
"
layer,"n.层，层次；膜；[植]压条；放置者，计划者
v.把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
","1. He pulled off layer upon layer of clothing (= many layers of clothing ).
他把衣服一件件地脱掉。
"
destiny,"n.命运，定数，天命
","1. She always had a strong sense of destiny .
她向来很相信天意。
"
tremendous,"adj.极大的，巨大的；惊人的；极好的
","1. Suddenly, there was a tremendous bang, and the whole station shook.
突然一声巨响，整个车站都晃动了。
2. She was making a tremendous effort to appear calm.
她竭力表现出平静的样子。
3. She praised her husband for the tremendous support he had given her.
她称赞丈夫给了她巨大支持。
4. Sales have been tremendous so far this year.
今年到目前为止，销售额十分惊人。
5. This plan could save us a tremendous amount of money.
这个计划能给我们节省一大笔钱。
"
freeze,"v.冻结；冷冻；僵硬
n.冻结；凝固
","1. The lake had frozen overnight.
湖上一夜之间就结了冰。
"
appal,"v.使惊骇；惊吓
","1. The way we kill animals appals a lot of people.
我们屠杀动物的方式令许多人震惊。
2. The decision to execute the two men has appalled many politicians.
处死那两名男子的判决令许多从政者震惊。
"
maid,"n.女仆；少女
vt.侍候；做新娘的女傧相
vi.当女仆
","1. a kitchen maid
厨房女佣人
"
dense,"adj.稠密的；浓厚的；愚钝的
","1. a dense rurally-based population
居住在乡村的密集人口
"
circus,"n.马戏；马戏团
","1. My real ambition was to work in a circus.
我真正的理想是去马戏团工作。
"
deposit,"n.存款；押金；订金；保证金；沉淀物
v.使沉积；存放
","1. fatty deposits on the heart
心脏上沉积的脂肪层
"
prescribe,"v.规定；开药方
","1. What punishment does the law prescribe for this crime?
法律规定这种罪行应受何处罚？
"
glow,"v.发热；洋溢；绚丽夺目
n.灼热；色彩鲜艳；兴高采烈
",
honey,"n.蜂蜜；宝贝；甜蜜
adj.甘美的；蜂蜜似的
v.对…说甜言蜜语；加蜜使甜
","1. Hi, honey.
嗨，亲爱的。
"
ventilate,"v.使通风；给…装通风设备；宣布
","1. Both patients are sedated and ventilated.
两位病人都用了镇静剂和呼吸机。
"
accelerate,"v.使……加快；使……增速
","1. measures to accelerate the rate of economic growth
加快经济增长速度的措施
"
hill,"n.小山；丘陵；斜坡；山冈
","1. Their house is on a hill overlooking the sea.
他们的房子建在可以俯视大海的小山上。
2. A cart was making its way up the hill.
一辆马车正在爬上山丘。
"
forehead,"n.额，前额
","1. ...the lines on her forehead.
…她前额上的皱纹。
"
